account,state,side,ae,xp_new,xp_wip,arr,countable,ncap,capability_data,territory_tier,territory_score,account_whitespace,growth_potential,tier,tier_label
Texas Health & Human Services Commission,TX,State,No State AE shown (TX),Steffany Amador,Taylor Roman,174839.04,True,4,reported,A,82.4,0.5,0.6944,1,Growth engine
Palm Beach County FL Sheriff’s Office,FL,Local ENT,Bill Marshall,Taylor Roman,Carolina Cambronero,155536.32,True,1,reported,B,57.8,0.875,0.6968,1,Growth engine
Ohio Workers' Compensation Bureau,OH,State,Bettsy Desjarlais,Marcy Castro,Steffany Amador,155215.0,True,3,reported,A,74.7,0.625,0.6982,1,Growth engine
Placer County CA,CA,Local ENT,Jason Spanier,Colleen Moran,Colleen Moran,151092.02,True,2,reported,A,62.3,0.75,0.6738,1,Growth engine
California Department of Housing & Community Development,CA,State,State AE – CA/HI,Open XP2 (PT),Colleen Moran,144766.94,True,2,reported,B,54.4,0.75,0.6264,1,Growth engine
Arizona Department of Transportation,AZ,State,Cameron Chadsey,Cody Nichols,Cody Nichols,140546.46,True,2,reported,C,46.6,0.75,0.5796,1,Growth engine
"Kansas City, MO, Police Department",MO,Local ENT,David Cliff,Marcy Castro,Marcy Castro,139405.59,True,1,reported,C,41.9,0.875,0.6014,1,Growth engine
"Palm Beach County, FL",FL,Local ENT,Bill Marshall,Taylor Roman,Carolina Cambronero,138945.81,True,1,reported,B,57.8,0.875,0.6968,1,Growth engine
Texas Department of Public Safety,TX,State,No State AE shown (TX),Steffany Amador,Taylor Roman,138858.92,True,1,reported,A,82.4,0.875,0.8444,1,Growth engine
California Judicial Council of California,CA,State,State AE – CA/HI,Open XP2 (PT),Colleen Moran,138774.03,True,2,reported,B,54.4,0.75,0.6264,1,Growth engine
Houston Independent School District,TX,Local ENT,Pete Redondo,Carolina Cambronero,(not in WIP),133796.16,True,3,reported,A,63.1,0.625,0.6286,1,Growth engine
Pedernales Electric Cooperative,TX,Local ENT,Cedric Simpkins,Steffany Amador,(not in WIP),131088.1,True,2,reported,A,63.1,0.75,0.6786,1,Growth engine
Cobb County GA,GA,Local ENT,Spencer Ferrell,Taylor Roman,Andy O'Brien,130026.55,True,1,reported,A,61.3,0.875,0.7178,1,Growth engine
Frederick County MD,MD,Local ENT,Josh Gondwe,Andy O'Brien,Andy O'Brien,129966.96,True,2,reported,B,56.3,0.75,0.6378,1,Growth engine
Georgia Department of Natural Resources,GA,State,Sarah Duncan,Taylor Roman,Andy O'Brien,129709.97,True,3,reported,A,77.5,0.625,0.715,1,Growth engine
Shelby County TN,TN,Local ENT,Carter Bradford,Andy O'Brien,Marcy Castro,128490.97,True,2,reported,B,48.7,0.75,0.5922,1,Growth engine
Howard County MD,MD,Local ENT,Josh Gondwe,Andy O'Brien,Andy O'Brien,126987.37,True,2,reported,B,56.3,0.75,0.6378,1,Growth engine
Miami-Dade County FL,FL,Local ENT,Bill Marshall,Taylor Roman,Carolina Cambronero,124583.45,True,2,reported,B,57.8,0.75,0.6468,1,Growth engine
Texas Commission on Law Enforcement,TX,State,No State AE shown (TX),Steffany Amador,Taylor Roman,120991.86,True,4,reported,A,82.4,0.5,0.6944,1,Growth engine
New Mexico Department of Public Safety,NM,State,Cameron Chadsey,Cody Nichols,Cody Nichols,119725.38,True,1,reported,A,67.0,0.875,0.752,1,Growth engine
California Department of General Services,CA,State,State AE – CA/HI,Open XP2 (PT),Colleen Moran,110539.87,True,3,reported,B,54.4,0.625,0.5764,1,Growth engine
Arizona Department of Gaming,AZ,State,Cameron Chadsey,Cody Nichols,Cody Nichols,109403.15,True,2,reported,C,46.6,0.75,0.5796,1,Growth engine
California Department of State Hospitals,CA,State,State AE – CA/HI,Open XP2 (PT),(not in WIP),105630.03,True,1,reported,B,54.4,0.875,0.6764,1,Growth engine
Los Angeles County Sanitation District,CA,Local ENT,Jeff Gaisford,Colleen Moran,(not in WIP),101490.55,True,3,reported,A,62.3,0.625,0.6238,1,Growth engine
VIA Metropolitan Transit,TX,Local ENT,Cedric Simpkins,Steffany Amador,(not in WIP),98314.78,True,1,reported,A,63.1,0.875,0.7286,1,Growth engine
Jefferson Parish - LA,LA,Local ENT,Austin Goodman,Alejandro Solano,Alejandro Solano,96551.4,True,1,reported,C,40.6,0.875,0.5936,2,Expansion
Utah Department of Corrections,UT,State,Che Bustos,Alejandro Solano,Paige Wendle,95340.39,True,1,reported,B,57.5,0.875,0.695,2,Expansion
Florida Department of Corrections - Public Records,FL,State,Demi Washington,Carolina Cambronero,Carolina Cambronero,90628.87,True,0,imputed,A,62.0,0.75,0.672,2,Expansion
"Albuquerque, NM",NM,Local ENT,Stephen Allen,Cody Nichols,Cody Nichols,90042.24,True,1,reported,B,53.4,0.875,0.6704,2,Expansion
Texas Higher Education Coordinating Board,TX,State,No State AE shown (TX),Steffany Amador,Taylor Roman,89925.24,True,2,reported,A,82.4,0.75,0.7944,2,Expansion
California Department of Developmental Services,CA,State,State AE – CA/HI,Open XP2 (PT),Colleen Moran,89556.96,True,1,reported,B,54.4,0.875,0.6764,2,Expansion
California Energy Commission,CA,State,State AE – CA/HI,Open XP2 (PT),Colleen Moran,89258.56,True,2,reported,B,54.4,0.75,0.6264,2,Expansion
Arizona Department of Economic Security,AZ,State,Cameron Chadsey,Cody Nichols,Cody Nichols,87743.48,True,1,reported,C,46.6,0.875,0.6296,2,Expansion
Dutchess County NY,NY,Local ENT,Territory 4a (open),Halena Martin,Halena Martin,85735.25,True,2,reported,A,64.9,0.75,0.6894,2,Expansion
North Central Texas Council of Governments,TX,Local ENT,Dallas SAM (open),Alejandro Solano,(not in WIP),83278.41,True,1,reported,A,63.1,0.875,0.7286,2,Expansion
Virginia Department of General Services,VA,State,Grant Samson,Andy O'Brien,Andy O'Brien,82353.81,True,3,reported,A,78.8,0.625,0.7228,2,Expansion
"Rochester, NY",NY,Local ENT,Territory 4a (open),Halena Martin,Halena Martin,80946.15,True,1,reported,A,64.9,0.875,0.7394,2,Expansion
"Arizona Department of Corrections, Rehabilitation & Reentry",AZ,State,Cameron Chadsey,Cody Nichols,Cody Nichols,78444.3,True,1,reported,C,46.6,0.875,0.6296,2,Expansion
"Philadelphia, PA",PA,Local ENT,Andrew Wyzkoski,Halena Martin,Halena Martin,77439.1,True,1,reported,B,57.9,0.875,0.6974,2,Expansion
California Alcoholic Beverage Control Department,CA,State,State AE – CA/HI,Open XP2 (PT),Colleen Moran,76547.55,True,1,reported,B,54.4,0.875,0.6764,2,Expansion
Lake County IN,IN,Local ENT,Kent Hartsfield,Marcy Castro,Brooke Minichino,70971.57,True,2,reported,A,63.7,0.75,0.6822,2,Expansion
Georgia Office of the Commissioner of Insurance and Safety Fire,GA,State,Sarah Duncan,Taylor Roman,Andy O'Brien,70482.44,True,1,reported,A,77.5,0.875,0.815,2,Expansion
Webb County TX,TX,Local ENT,Pete Redondo,Carolina Cambronero,Taylor Roman,70011.83,True,2,reported,A,63.1,0.75,0.6786,2,Expansion
"New Mexico Energy, Minerals & Natural Resources Department",NM,State,Cameron Chadsey,Cody Nichols,Cody Nichols,68159.85,True,2,reported,A,67.0,0.75,0.702,2,Expansion
Kansas Highway Patrol,KS,State,Matt Russell,Alejandro Solano,Alejandro Solano,66197.8,True,1,reported,C,44.1,0.875,0.6146,2,Expansion
Nevada Department of Human Services,NV,State,Cameron Chadsey,Colleen Moran,Cody Nichols,64059.6,True,1,reported,B,49.1,0.875,0.6446,2,Expansion
Georgia Bureau of Investigation,GA,State,Sarah Duncan,Taylor Roman,Andy O'Brien,62864.56,True,1,reported,A,77.5,0.875,0.815,2,Expansion
Hillsborough County FL,FL,Local ENT,Desmond Davis,Carolina Cambronero,Carolina Cambronero,60043.14,True,1,reported,B,57.8,0.875,0.6968,2,Expansion
"Dutchess County NY, District Attorney’s Office",NY,Local ENT,Territory 4a (open),Halena Martin,Halena Martin,60027.61,True,2,reported,A,64.9,0.75,0.6894,2,Expansion
California Department of Forestry and Fire Protection,CA,State,State AE – CA/HI,Open XP2 (PT),Colleen Moran,60005.9,True,1,reported,B,54.4,0.875,0.6764,2,Expansion
"Oklahoma Dept of Agriculture, Food and Forestry",OK,State,Matt Russell,Alejandro Solano,Alejandro Solano,55382.73,True,2,reported,B,57.6,0.75,0.6456,2,Expansion
Nevada Health Authority,NV,State,Cameron Chadsey,Colleen Moran,Cody Nichols,51688.96,True,1,reported,B,49.1,0.875,0.6446,2,Expansion
Minnesota Public Utilities Commission,MN,State,Joe Spair,Brooke Minichino,Brooke Minichino,51463.55,True,0,imputed,A,67.4,0.75,0.7044,2,Expansion
Ohio Department of Natural Resources,OH,State,Bettsy Desjarlais,Marcy Castro,Steffany Amador,50554.39,True,2,reported,A,74.7,0.75,0.7482,2,Expansion
Louisiana Department of Health,LA,State,Demi Washington,Carolina Cambronero,Alejandro Solano,50147.46,True,1,reported,C,45.9,0.875,0.6254,2,Expansion
Arizona Corporation Commission,AZ,State,Cameron Chadsey,Cody Nichols,Cody Nichols,49215.0,True,1,reported,C,46.6,0.875,0.6296,2,Expansion
New Mexico Regulation & Licensing Department,NM,State,Cameron Chadsey,Cody Nichols,Cody Nichols,47966.91,True,3,reported,A,67.0,0.625,0.652,2,Expansion
Nevada Department of Motor Vehicles,NV,State,Cameron Chadsey,Colleen Moran,Cody Nichols,47919.55,True,1,reported,B,49.1,0.875,0.6446,2,Expansion
Onslow County NC,NC,Local ENT,Joel Parris,Andy O'Brien,Andy O'Brien,46254.87,True,1,reported,A,64.9,0.875,0.7394,2,Expansion
New Mexico Environment Department,NM,State,Cameron Chadsey,Cody Nichols,Cody Nichols,45471.89,True,3,reported,A,67.0,0.625,0.652,2,Expansion
New Mexico Early Childhood Education & Care Department,NM,State,Cameron Chadsey,Cody Nichols,Cody Nichols,42743.1,True,1,reported,A,67.0,0.875,0.752,2,Expansion
Texas Division of Emergency Management,TX,State,No State AE shown (TX),Steffany Amador,Taylor Roman,40762.17,True,2,reported,A,82.4,0.75,0.7944,2,Expansion
"Connecticut Public Utilities Regulatory Authority [PURA],",CT,State,Stephanie DelSignore,Halena Martin,Halena Martin,40636.87,True,1,reported,C,40.5,0.875,0.593,2,Expansion
Georgia Department of Community Affairs,GA,State,Sarah Duncan,Taylor Roman,Andy O'Brien,40228.62,True,1,reported,A,77.5,0.875,0.815,2,Expansion
"Minnesota Department of Children, Youth, and Families",MN,State,Joe Spair,Brooke Minichino,Brooke Minichino,37261.94,True,1,reported,A,67.4,0.875,0.7544,2,Expansion
New Mexico Health Care Authority,NM,State,Cameron Chadsey,Cody Nichols,Cody Nichols,36674.93,True,1,reported,A,67.0,0.875,0.752,2,Expansion
New York Office of the Inspector General,NY,State,Stephanie DelSignore,Halena Martin,(not in WIP),31328.33,True,1,reported,B,57.0,0.875,0.692,2,Expansion
Connecticut Department of Emergency Services and Public Protection,CT,State,Stephanie DelSignore,Halena Martin,Halena Martin,29568.49,True,1,reported,C,40.5,0.875,0.593,2,Expansion
Texas Ethics Commission,TX,State,No State AE shown (TX),Steffany Amador,Taylor Roman,29497.5,True,1,reported,A,82.4,0.875,0.8444,2,Expansion
Texas Lottery Commission,TX,State,No State AE shown (TX),Steffany Amador,Taylor Roman,28897.72,True,0,imputed,A,82.4,0.75,0.7944,2,Expansion
DOTComm (Douglas Omaha Technology Commission),NE,Local ENT,David Cliff,Marcy Castro,(not in WIP),28683.16,True,1,reported,C,42.8,0.875,0.6068,2,Expansion
California Board of State & Community Corrections,CA,State,State AE – CA/HI,Open XP2 (PT),Colleen Moran,27130.91,True,1,reported,B,54.4,0.875,0.6764,2,Expansion
Wisconsin Court System,WI,State,Joe Spair,Brooke Minichino,Brooke Minichino,26810.58,True,3,reported,B,57.8,0.625,0.5968,2,Expansion
Wisconsin Department of Public Instruction,WI,State,Joe Spair,Brooke Minichino,Brooke Minichino,26733.86,True,3,reported,B,57.8,0.625,0.5968,2,Expansion
Texas Board of Nursing,TX,State,No State AE shown (TX),Steffany Amador,Taylor Roman,25883.03,True,5,reported,A,82.4,0.375,0.6444,2,Expansion
Minnesota Attorney General,MN,State,Joe Spair,Brooke Minichino,Brooke Minichino,25748.88,True,3,reported,A,67.4,0.625,0.6544,2,Expansion
Georgia Environmental Protection Division,GA,State,Sarah Duncan,Taylor Roman,Andy O'Brien,24946.5,True,3,reported,A,77.5,0.625,0.715,2,Expansion
Oklahoma Public Employees Retirement System,OK,State,Matt Russell,Alejandro Solano,Alejandro Solano,23970.87,True,3,reported,B,57.6,0.625,0.5956,2,Expansion
Arizona State Schools for the Deaf & the Blind,AZ,State,Cameron Chadsey,Cody Nichols,Cody Nichols,22991.98,True,0,imputed,C,46.6,0.75,0.5796,2,Expansion
New Mexico Department of Justice,NM,State,Cameron Chadsey,Cody Nichols,Cody Nichols,22951.04,True,3,reported,A,67.0,0.625,0.652,2,Expansion
Minnesota State Auditor's Office,MN,State,Joe Spair,Brooke Minichino,Brooke Minichino,22471.75,True,3,reported,A,67.4,0.625,0.6544,2,Expansion
Texas Charitable Bingo,TX,State,No State AE shown (TX),Steffany Amador,Taylor Roman,0.0,False,0,imputed,A,82.4,0.75,0.7944,2,Expansion
Florida Department of Corrections,FL,State,Demi Washington,Carolina Cambronero,Carolina Cambronero,0.0,True,0,imputed,A,62.0,0.75,0.672,2,Expansion
"Los Angeles, CA",CA,Local ENT,Jeff Gaisford,Colleen Moran,Colleen Moran,1766256.38,True,6,reported,A,62.3,0.25,0.4738,3,Defend
"Cook County, IL",IL,Local ENT,Kent Hartsfield,Marcy Castro,Steffany Amador,1110948.16,True,3,reported,C,40.0,0.625,0.49,3,Defend
Orange County FL,FL,Local ENT,Desmond Davis,Carolina Cambronero,Carolina Cambronero,973617.97,True,5,reported,B,57.8,0.375,0.4968,3,Defend
Columbus OH,OH,Local ENT,Kent Hartsfield,Marcy Castro,Steffany Amador,870256.4,True,9,reported,B,47.0,0.0,0.282,3,Defend
"San Antonio, TX",TX,Local ENT,Cedric Simpkins,Steffany Amador,Steffany Amador,756412.27,True,6,reported,A,63.1,0.25,0.4786,3,Defend
District of Columbia,DC,Neither map,Not on either map,Paige Wendle,Paige Wendle,725132.5,True,4,reported,B,51.7,0.5,0.5102,3,Defend
Franklin County OH,OH,Local ENT,Kent Hartsfield,Marcy Castro,Steffany Amador,619425.92,True,8,reported,B,47.0,0.0,0.282,3,Defend
California Secretary of State,CA,State,State AE – CA/HI,Open XP2 (PT),(not in WIP),596661.43,True,4,reported,B,54.4,0.5,0.5264,3,Defend
Nashville-Davidson County TN,TN,Local ENT,Carter Bradford,Carolina Prieto,Marcy Castro,538906.86,True,7,reported,B,48.7,0.125,0.3422,3,Defend
Jackson County MO,MO,Local ENT,David Cliff,Marcy Castro,Marcy Castro,521351.74,True,9,reported,C,41.9,0.0,0.2514,3,Defend
Iowa Division of Information Technology,IA,State,No State AE shown (IA),Brooke Minichino,Steffany Amador,511994.99,True,3,reported,C,42.3,0.625,0.5038,3,Defend
Wayne County MI,MI,Local ENT,Tyler Carlson,Brooke Minichino,Brooke Minichino,489446.2,True,8,reported,B,49.5,0.0,0.297,3,Defend
New Orleans LA,LA,Local ENT,Austin Goodman,Alejandro Solano,Alejandro Solano,423673.87,True,3,reported,C,40.6,0.625,0.4936,3,Defend
"Oakland, CA",CA,Local ENT,Jason Spanier,Carolina Prieto,Colleen Moran,417352.67,True,5,reported,A,62.3,0.375,0.5238,3,Defend
Kentucky Commonwealth Office of Technology,KY,State,State AE – KY/TN/AR,Carolina Prieto,Marcy Castro,393182.5,True,3,reported,D,34.7,0.625,0.4582,3,Defend
Kentucky Cabinet for Health & Family Services (CHFS),KY,State,State AE – KY/TN/AR,Andy O'Brien,Marcy Castro,376479.91,True,4,reported,D,34.7,0.5,0.4082,3,Defend
"Denver City and County, CO",CO,Local ENT,David Cliff,Paige Wendle,Steffany Amador,370850.21,True,4,reported,B,50.1,0.5,0.5006,3,Defend
North Dakota Information Technology Department,ND,State,Scott Mark,Carolina Prieto,Brooke Minichino,360241.9,True,3,reported,D,34.7,0.625,0.4582,3,Defend
Arapahoe County CO,CO,Local ENT,David Cliff,Paige Wendle,Steffany Amador,331546.29,True,7,reported,B,50.1,0.125,0.3506,3,Defend
Miami FL,FL,Local ENT,Bill Marshall,Taylor Roman,Taylor Roman,305300.64,True,4,reported,B,57.8,0.5,0.5468,3,Defend
Washington Department of Transportation,WA,State,Todd Bowers,Paige Wendle,Paige Wendle,301828.73,True,4,reported,D,33.6,0.5,0.4016,3,Defend
Oklahoma City OK,OK,Local ENT,Austin Goodman,Alejandro Solano,Alejandro Solano,300030.96,True,7,reported,B,52.0,0.125,0.362,3,Defend
Washington State Department of Health,WA,State,Todd Bowers,Paige Wendle,Paige Wendle,296031.42,True,2,reported,D,33.6,0.75,0.5016,3,Defend
"Cleveland, OH",OH,Local ENT,Kent Hartsfield,Marcy Castro,Steffany Amador,292462.82,True,3,reported,B,47.0,0.625,0.532,3,Defend
Maine,ME,State,No State AE shown (ME),Halena Martin,Halena Martin,289386.97,True,3,reported,D,26.9,0.625,0.4114,3,Defend
"Corpus Christi, TX",TX,Local ENT,Pete Redondo,Carolina Cambronero,Taylor Roman,288093.36,True,6,reported,A,63.1,0.25,0.4786,3,Defend
"Aurora, IL",IL,Local ENT,Kent Hartsfield,Carolina Prieto,Steffany Amador,278289.25,True,9,reported,C,40.0,0.0,0.24,3,Defend
Florida Department of Health,FL,State,Demi Washington,Carolina Cambronero,Carolina Cambronero,249098.5,True,4,reported,A,62.0,0.5,0.572,3,Defend
Richland County SC,SC,Local ENT,Joel Parris,Andy O'Brien,Andy O'Brien,237874.31,True,7,reported,B,51.3,0.125,0.3578,3,Defend
Washington County OR,OR,Local ENT,Carrie Breedlove,Paige Wendle,Paige Wendle,229991.53,True,6,reported,C,46.0,0.25,0.376,3,Defend
St. Paul MN,MN,Local ENT,Tyler Carlson,Brooke Minichino,Brooke Minichino,225711.22,True,4,reported,A,58.5,0.5,0.551,3,Defend
