account,state,side,ae,xp_new,xp_wip,arr,countable,ncap,capability_data,territory_tier,territory_score,account_whitespace,growth_potential,tier,tier_label
Connecticut Workers' Compensation Commission,CT,State,Stephanie DelSignore,Halena Martin,Halena Martin,69192.83,True,2,reported,C,40.5,0.75,0.543,4,Maintain
Maine Department of Health & Human Services,ME,State,No State AE shown (ME),Halena Martin,Halena Martin,67000.0,True,1,reported,D,26.9,0.875,0.5114,4,Maintain
Oregon Housing and Community Services,OR,State,Todd Bowers,Paige Wendle,Paige Wendle,64326.23,True,2,reported,C,42.0,0.75,0.552,4,Maintain
Kansas State Department of Education,KS,State,Matt Russell,Alejandro Solano,Alejandro Solano,59686.87,True,3,reported,C,44.1,0.625,0.5146,4,Maintain
"Montgomery, AL",AL,Local ENT,Spencer Ferrell,Taylor Roman,Carolina Cambronero,57779.94,True,5,reported,B,55.1,0.375,0.4806,4,Maintain
Sarasota County/Clerk of the Circuit Court - FL,FL,Local ENT,Desmond Davis,Carolina Cambronero,(not in WIP),57302.25,True,5,reported,B,57.8,0.375,0.4968,4,Maintain
Colorado Department of Labor and Employment,CO,State,Che Bustos,Alejandro Solano,Alejandro Solano,56832.3,True,3,reported,C,42.5,0.625,0.505,4,Maintain
Oregon Public Utility Commission,OR,State,Todd Bowers,Paige Wendle,Paige Wendle,52502.57,True,2,reported,C,42.0,0.75,0.552,4,Maintain
Colorado Department of Corrections,CO,State,Che Bustos,Alejandro Solano,Alejandro Solano,50310.23,True,3,reported,C,42.5,0.625,0.505,4,Maintain
Calcasieu Parish LA,LA,Local ENT,Austin Goodman,Alejandro Solano,Alejandro Solano,49551.43,True,3,reported,C,40.6,0.625,0.4936,4,Maintain
Washington Military Department,WA,State,Todd Bowers,Paige Wendle,Paige Wendle,46846.63,True,2,reported,D,33.6,0.75,0.5016,4,Maintain
North Collier Fire Control and Rescue District,FL,Local ENT,Bill Marshall,Taylor Roman,(not in WIP),43219.0,True,5,reported,B,57.8,0.375,0.4968,4,Maintain
Oregon Teacher Standards and Practices Commission,OR,State,Todd Bowers,Paige Wendle,Paige Wendle,42446.25,True,4,reported,C,42.0,0.5,0.452,4,Maintain
Yuma County AZ,AZ,Local ENT,Stephen Allen,Cody Nichols,Cody Nichols,38369.12,True,5,reported,B,57.3,0.375,0.4938,4,Maintain
Missouri State Treasurer,MO,State,Bill Pintsak,Marcy Castro,Marcy Castro,28547.35,True,3,reported,C,42.3,0.625,0.5038,4,Maintain
"Hillsborough County FL, Environmental Protection Commission",FL,Local ENT,Desmond Davis,Carolina Cambronero,(not in WIP),28371.0,True,5,reported,B,57.8,0.375,0.4968,4,Maintain
Missouri Public Service Commission,MO,State,Bill Pintsak,Marcy Castro,Marcy Castro,26823.83,True,3,reported,C,42.3,0.625,0.5038,4,Maintain
Kentucky Office of Homeland Security,KY,State,State AE – KY/TN/AR,Andy O'Brien,Marcy Castro,25761.6,True,3,reported,D,34.7,0.625,0.4582,4,Maintain
North Jersey Transportation Planning Authority,NJ,Local ENT,Andrew Wyzkoski,Halena Martin,(not in WIP),23334.06,True,3,reported,B,54.0,0.625,0.574,4,Maintain
Louisiana Attorney General (Justice Department),LA,State,Demi Washington,Carolina Cambronero,Alejandro Solano,22628.95,True,0,imputed,C,45.9,0.75,0.5754,4,Maintain
North Dakota Workforce Safety & Insurance,ND,State,Scott Mark,Carolina Prieto,Brooke Minichino,18961.02,True,1,reported,D,34.7,0.875,0.5582,4,Maintain
North Dakota Department of Health and Human Services,ND,State,Scott Mark,Carolina Prieto,Brooke Minichino,11496.65,True,1,reported,D,34.7,0.875,0.5582,4,Maintain
North Dakota Department of Commerce,ND,State,Scott Mark,Carolina Prieto,Brooke Minichino,4134.38,True,1,reported,D,34.7,0.875,0.5582,4,Maintain
North Dakota Retirement and Investment Office,ND,State,Scott Mark,Carolina Prieto,Brooke Minichino,3750.0,True,1,reported,D,34.7,0.875,0.5582,4,Maintain
Connecticut Office of the Healthcare Advocate,CT,State,Stephanie DelSignore,Halena Martin,Halena Martin,0.0,False,0,imputed,C,40.5,0.75,0.543,4,Maintain
Connecticut Office of the Chief Medical Examiner,CT,State,Stephanie DelSignore,Halena Martin,Halena Martin,0.0,False,0,imputed,C,40.5,0.75,0.543,4,Maintain
Connecticut Office of the Governor,CT,State,Stephanie DelSignore,Halena Martin,Halena Martin,0.0,False,0,imputed,C,40.5,0.75,0.543,4,Maintain
Connecticut Office of Lieutenant Governor,CT,State,Stephanie DelSignore,Halena Martin,Halena Martin,0.0,False,0,imputed,C,40.5,0.75,0.543,4,Maintain
Connecticut Office of the Attorney General,CT,State,Stephanie DelSignore,Halena Martin,Halena Martin,0.0,False,0,imputed,C,40.5,0.75,0.543,4,Maintain
Connecticut Criminal Justice Division,CT,State,Stephanie DelSignore,Halena Martin,Halena Martin,0.0,False,0,imputed,C,40.5,0.75,0.543,4,Maintain
Connecticut Contracting Standards Board,CT,State,Stephanie DelSignore,Halena Martin,Halena Martin,0.0,False,0,imputed,C,40.5,0.75,0.543,4,Maintain
Connecticut Connecticut Technical Education and Career System,CT,State,Stephanie DelSignore,Halena Martin,Halena Martin,0.0,False,0,imputed,C,40.5,0.75,0.543,4,Maintain
Connecticut Department of Aging and Disability Services,CT,State,Stephanie DelSignore,Halena Martin,Halena Martin,0.0,False,0,imputed,C,40.5,0.75,0.543,4,Maintain
Connecticut Connecticut State Colleges and Universities,CT,State,Stephanie DelSignore,Halena Martin,Halena Martin,0.0,False,0,imputed,C,40.5,0.75,0.543,4,Maintain
Connecticut Department of Consumer Protection,CT,State,Stephanie DelSignore,Halena Martin,Halena Martin,0.0,False,0,imputed,C,40.5,0.75,0.543,4,Maintain
Connecticut Department of Banking,CT,State,Stephanie DelSignore,Halena Martin,Halena Martin,0.0,False,0,imputed,C,40.5,0.75,0.543,4,Maintain
Connecticut Department of Correction,CT,State,Stephanie DelSignore,Halena Martin,Halena Martin,0.0,False,0,imputed,C,40.5,0.75,0.543,4,Maintain
Connecticut Department of Agriculture,CT,State,Stephanie DelSignore,Halena Martin,Halena Martin,0.0,False,0,imputed,C,40.5,0.75,0.543,4,Maintain
Connecticut Department of Children and Families,CT,State,Stephanie DelSignore,Halena Martin,Halena Martin,0.0,False,0,imputed,C,40.5,0.75,0.543,4,Maintain
Connecticut Department of Labor,CT,State,Stephanie DelSignore,Halena Martin,Halena Martin,0.0,False,0,imputed,C,40.5,0.75,0.543,4,Maintain
Connecticut Department of Energy and Environmental Protection (DEEP),CT,State,Stephanie DelSignore,Halena Martin,Halena Martin,0.0,False,0,imputed,C,40.5,0.75,0.543,4,Maintain
Connecticut Department of Economic & Community Development,CT,State,Stephanie DelSignore,Halena Martin,Halena Martin,0.0,False,0,imputed,C,40.5,0.75,0.543,4,Maintain
Connecticut Department of Housing,CT,State,Stephanie DelSignore,Halena Martin,Halena Martin,0.0,False,0,imputed,C,40.5,0.75,0.543,4,Maintain
Connecticut Insurance Department,CT,State,Stephanie DelSignore,Halena Martin,Halena Martin,0.0,False,0,imputed,C,40.5,0.75,0.543,4,Maintain
Connecticut Developmental Services Department,CT,State,Stephanie DelSignore,Halena Martin,Halena Martin,0.0,False,0,imputed,C,40.5,0.75,0.543,4,Maintain
Connecticut Office of Early Childhood,CT,State,Stephanie DelSignore,Halena Martin,Halena Martin,0.0,False,0,imputed,C,40.5,0.75,0.543,4,Maintain
Connecticut Office of Health Strategy,CT,State,Stephanie DelSignore,Halena Martin,Halena Martin,0.0,False,0,imputed,C,40.5,0.75,0.543,4,Maintain
Connecticut Office of Higher Education,CT,State,Stephanie DelSignore,Halena Martin,Halena Martin,0.0,False,0,imputed,C,40.5,0.75,0.543,4,Maintain
